t_h,SOC,发电W,耗电W
63.0,1.0,5.0641089508772605,0.78
63.166666666666664,1.0,5.950405312640103,3.75
63.333333333333336,1.0,3.198732640137652,0.78
63.5,0.9995,0.0,0.78
63.666666666666664,0.9968,0.0,0.78
63.833333333333336,0.9942,0.0,0.78
64.0,0.9915,0.0,0.78
64.16666666666667,1.0,6.3026401775199865,0.78
64.33333333333333,1.0,3.8711885382469355,0.78
64.5,1.0,3.672986330502214,0.78
64.66666666666667,1.0,6.267709907614351,0.78
64.83333333333333,1.0,4.328471007046575,0.78
65.0,0.9903,3.3312235470341975,9.45
65.16666666666667,0.979,0.0,0.78
65.33333333333333,0.9763,0.0,0.78
65.5,0.9737,0.0,0.78
65.66666666666667,0.9748,5.790802764804348,0.78
65.83333333333333,0.9926,5.288136681337775,0.78
66.0,1.0,3.0175921983608807,0.78
66.16666666666667,1.0,5.39065216847352,0.78
66.33333333333333,1.0,5.706354148244387,0.78
66.5,1.0,3.0732301021391444,0.78
66.66666666666667,0.9992,0.0,0.78
66.83333333333333,0.9966,0.0,0.78
67.0,0.9939,0.0,0.78
67.16666666666667,0.9912,0.0,0.78
67.33333333333333,1.0,6.239380182613566,0.78
67.5,1.0,3.5854429167453588,0.78
67.66666666666667,1.0,3.971633417623502,0.78
67.83333333333333,1.0,6.307440667832989,0.78
68.0,1.0,3.9970951310458425,0.78
68.16666666666667,1.0,3.564468461725542,0.78
68.33333333333333,0.9977,0.0,0.78
68.5,0.9951,0.0,0.78
68.66666666666667,0.9924,0.0,0.78
68.83333333333333,0.9956,6.017334477835395,0.78
69.0,1.0,4.954141483645171,0.78
69.16666666666667,1.0,3.066193864401244,0.78
69.33333333333333,1.0,5.684611040199267,0.78
69.5,1.0,5.415599606220574,0.78
69.66666666666667,1.0,3.0187844934184516,0.78
69.83333333333333,0.9989,0.0,0.78
70.0,0.9963,0.0,0.78
70.16666666666667,0.9936,0.0,0.78
70.33333333333333,0.991,0.0,0.78
70.5,1.0,6.105578468893032,0.78
70.66666666666667,1.0,3.347846705850606,0.78
70.83333333333333,1.0,4.301158449552346,0.78
71.0,1.0,6.273585863415111,0.78
71.16666666666667,1.0,3.6954584843442193,0.78
71.33333333333333,1.0,3.8468008204080446,0.78
71.5,0.9975,0.0,0.78
71.66666666666667,0.9948,0.0,0.78
71.83333333333333,0.9922,0.0,0.78
72.0,0.9975,6.183254946228244,0.78
72.16666666666667,1.0,4.607083858272399,0.78
72.33333333333333,1.0,3.186167138975306,0.78
72.5,1.0,5.932838943887822,0.78
72.66666666666667,1.0,5.091145002593083,0.78
72.83333333333333,1.0,3.037830766328886,0.78
73.0,0.9985,0.0,0.78
73.16666666666667,0.9959,0.0,0.78
73.33333333333333,0.9932,0.0,0.78
73.5,0.9906,0.0,0.78
73.66666666666667,1.0,5.90721900467753,0.78
73.83333333333333,1.0,3.169025839709636,0.78
74.0,1.0,4.646824190893196,0.78
74.16666666666667,1.0,6.167659571209619,0.78
74.33333333333333,1.0,3.4370510596149306,0.78
74.5,0.9997,0.0,0.78
74.66666666666667,0.9971,0.0,0.78
74.83333333333333,0.9944,0.0,0.78
75.0,0.9918,0.0,0.78
75.16666666666667,0.9992,6.281143765574365,0.78
75.33333333333333,1.0,4.262485144800252,0.78
75.5,1.0,3.3721464983223255,0.78
75.66666666666667,1.0,6.124234467828558,0.78
75.83333333333333,1.0,4.74750080972524,0.78
76.0,1.0,3.1295171209156876,0.78
76.16666666666667,0.9958,0.0,3.75
76.33333333333333,0.9886,0.0,0.78
76.5,0.9859,0.0,0.78
76.66666666666667,0.9842,5.450713387655814,0.78
76.83333333333333,1.0,5.653172952500496,0.78
77.0,1.0,3.056977662811048,0.78
77.16666666666667,1.0,4.993171550819191,0.78
77.33333333333333,1.0,5.9943990965850045,0.78
77.5,1.0,3.233429523809499,0.78
77.66666666666667,0.9995,0.0,0.78
77.83333333333333,0.9928,0.0,0.78
78.0,0.9901,0.0,0.78
78.16666666666667,0.9875,0.0,0.78
78.33333333333333,0.9971,6.306623087657336,0.78
78.5,1.0,3.935756713732848,0.78
78.66666666666667,1.0,3.6158144511082906,0.78
78.83333333333333,1.0,6.250237895409177,0.78
79.0,1.0,4.400035709422372,0.78
